order_id,session_id,customer_id,order_date,channel,device,category,campaign,ab_variant,gross_revenue,coupon_spend,net_revenue,gross_margin,returned,base_segment
O0000040,S0000740,C00056,2025-11-10T20:00:00,paid_search,mobile,food,always_on_search,control,238.1,35.71,202.38,50.69,0,deal_seeker
O0000041,S0000782,C00059,2025-11-06T16:00:00,direct,mobile,sports,brand_direct,control,375.6,18.78,356.82,141.86,0,champion
O0000042,S0000784,C00059,2025-12-09T09:00:00,direct,tablet,electronics,brand_direct,control,447.08,22.35,424.72,173.38,0,champion
O0000043,S0000810,C00063,2025-03-08T18:00:00,email,desktop,apparel,crm_lifecycle,treatment,215.31,24.76,190.55,61.69,0,steady
O0000044,S0000820,C00063,2025-09-25T11:00:00,affiliate,desktop,apparel,partner_cashback,treatment,128.75,17.38,111.37,33.98,0,steady
O0000045,S0000825,C00064,2025-06-02T10:00:00,paid_search,mobile,beauty,always_on_search,treatment,235.18,19.99,215.19,82.38,0,champion
O0000046,S0000826,C00064,2025-06-23T22:00:00,social,mobile,beauty,summer_social,treatment,248.84,21.15,227.69,87.63,0,champion
O0000047,S0000828,C00064,2025-07-19T12:00:00,email,mobile,beauty,crm_lifecycle,treatment,450.84,38.32,412.52,165.26,0,champion
O0000048,S0000856,C00067,2025-05-17T22:00:00,social,desktop,apparel,summer_social,control,897.77,44.89,852.89,353.21,0,champion
O0000049,S0000857,C00067,2025-05-11T16:00:00,organic,mobile,home,seo,control,390.75,19.54,371.21,147.91,0,champion
O0000050,S0000862,C00067,2025-07-17T20:00:00,affiliate,mobile,home,partner_cashback,control,406.71,28.47,378.24,150.86,0,champion
O0000051,S0000869,C00067,2025-10-21T21:00:00,paid_search,mobile,food,always_on_search,control,637.27,31.86,605.41,246.27,0,champion
O0000052,S0000881,C00069,2025-05-24T09:00:00,email,desktop,electronics,crm_lifecycle,control,159.62,23.94,135.67,34.35,0,deal_seeker
O0000053,S0000903,C00070,2025-06-12T14:00:00,paid_search,desktop,sports,always_on_search,control,393.7,31.5,362.2,121.77,0,steady
O0000054,S0000912,C00070,2025-11-18T10:00:00,social,mobile,beauty,summer_social,control,369.82,29.59,340.23,111.08,0,steady
O0000055,S0000917,C00071,2025-11-18T18:00:00,paid_search,mobile,beauty,always_on_search,control,214.07,32.11,181.96,44.77,0,deal_seeker
O0000056,S0000941,C00072,2025-09-03T08:00:00,organic,desktop,apparel,seo,control,196.76,15.74,181.02,58.36,0,steady
O0000057,S0000958,C00073,2025-08-03T10:00:00,social,desktop,beauty,summer_social,control,172.63,25.9,146.74,37.55,0,deal_seeker
O0000058,S0000964,C00073,2025-10-15T17:00:00,organic,mobile,food,seo,control,167.33,25.1,142.23,33.25,0,deal_seeker
O0000059,S0000980,C00075,2025-06-08T14:00:00,affiliate,mobile,sports,partner_cashback,treatment,132.84,21.92,110.92,26.39,0,new_or_low
O0000060,S0000989,C00076,2025-07-18T09:00:00,organic,mobile,food,seo,treatment,380.06,70.31,309.75,81.83,0,deal_seeker
O0000061,S0001013,C00077,2025-08-18T10:00:00,social,mobile,beauty,summer_social,treatment,236.6,27.21,209.39,65.29,0,steady
O0000062,S0001024,C00079,2025-08-16T16:00:00,affiliate,mobile,food,partner_cashback,treatment,249.06,26.15,222.91,85.62,0,champion
O0000063,S0001026,C00079,2025-09-17T18:00:00,organic,desktop,food,seo,treatment,306.3,26.04,280.26,112.71,0,champion
O0000064,S0001044,C00081,2025-04-22T21:00:00,paid_search,desktop,home,always_on_search,treatment,211.83,24.36,187.47,60.62,0,steady
O0000065,S0001049,C00081,2025-08-13T14:00:00,paid_search,desktop,beauty,always_on_search,treatment,241.63,27.79,213.84,69.84,0,steady
O0000066,S0001083,C00082,2025-11-24T22:00:00,email,mobile,apparel,crm_lifecycle,treatment,134.41,24.87,109.55,23.77,0,deal_seeker
O0000067,S0001087,C00082,2025-12-10T13:00:00,paid_search,mobile,sports,always_on_search,treatment,343.92,63.63,280.3,73.29,0,deal_seeker
O0000068,S0001101,C00084,2025-04-02T12:00:00,social,mobile,home,summer_social,treatment,277.53,23.59,253.94,98.65,0,champion
O0000069,S0001106,C00084,2025-06-01T20:00:00,email,mobile,sports,crm_lifecycle,treatment,223.77,19.02,204.75,77.99,0,champion
O0000070,S0001126,C00085,2025-10-24T12:00:00,social,mobile,home,summer_social,control,225.58,11.28,214.3,82.01,0,champion
O0000071,S0001132,C00085,2025-12-17T09:00:00,organic,mobile,sports,seo,control,184.93,9.25,175.69,65.79,0,champion
O0000072,S0001133,C00085,2025-12-27T16:00:00,paid_search,mobile,apparel,always_on_search,control,411.28,20.56,390.71,156.1,0,champion
O0000073,S0001141,C00086,2025-08-14T19:00:00,organic,mobile,electronics,seo,control,157.15,23.57,133.57,30.74,1,deal_seeker
O0000074,S0001156,C00088,2025-02-18T15:00:00,paid_search,mobile,electronics,always_on_search,treatment,162.57,30.08,132.5,30.42,0,deal_seeker
O0000075,S0001157,C00088,2025-02-25T22:00:00,paid_search,mobile,apparel,always_on_search,treatment,100.64,18.62,82.02,15.79,0,deal_seeker
O0000076,S0001169,C00088,2025-06-21T08:00:00,paid_search,mobile,electronics,always_on_search,treatment,200.15,37.03,163.12,39.3,0,deal_seeker
O0000077,S0001175,C00088,2025-09-05T08:00:00,social,mobile,electronics,summer_social,treatment,151.3,27.99,123.31,27.76,0,deal_seeker
O0000078,S0001228,C00095,2025-07-23T14:00:00,organic,desktop,sports,seo,control,179.75,26.96,152.79,39.31,0,deal_seeker
O0000079,S0001241,C00096,2025-03-18T08:00:00,social,desktop,apparel,summer_social,control,192.49,28.87,163.62,42.45,0,deal_seeker
O0000080,S0001251,C00096,2025-07-25T14:00:00,social,desktop,apparel,summer_social,control,155.69,23.35,132.33,33.38,0,deal_seeker
O0000081,S0001253,C00096,2025-09-26T17:00:00,email,mobile,beauty,crm_lifecycle,control,112.43,16.86,95.57,19.71,0,deal_seeker
O0000082,S0001258,C00096,2025-11-20T14:00:00,direct,mobile,beauty,brand_direct,control,256.71,38.51,218.2,55.28,0,deal_seeker
O0000083,S0001259,C00096,2025-12-01T10:00:00,direct,mobile,beauty,brand_direct,control,138.15,20.72,117.43,26.05,1,deal_seeker
O0000084,S0001262,C00096,2025-12-04T20:00:00,social,mobile,beauty,summer_social,control,217.87,32.68,185.19,45.7,0,deal_seeker
O0000085,S0001264,C00097,2025-08-04T14:00:00,paid_search,mobile,food,always_on_search,control,131.06,19.66,111.4,24.31,0,deal_seeker
O0000086,S0001272,C00097,2025-11-02T10:00:00,paid_search,mobile,home,always_on_search,control,120.39,18.06,102.33,21.68,0,deal_seeker
O0000087,S0001289,C00099,2025-08-24T13:00:00,social,mobile,food,summer_social,treatment,243.41,27.99,215.41,67.39,1,steady
O0000088,S0001291,C00099,2025-08-23T09:00:00,affiliate,mobile,beauty,partner_cashback,treatment,138.12,18.65,119.48,33.82,0,steady
O0000089,S0001294,C00099,2025-10-06T13:00:00,paid_search,desktop,home,always_on_search,treatment,181.42,20.86,160.56,51.2,0,steady
O0000090,S0001308,C00102,2025-04-02T18:00:00,paid_search,mobile,home,always_on_search,treatment,235.8,20.04,215.76,82.62,1,champion
O0000091,S0001310,C00102,2025-05-06T08:00:00,social,desktop,sports,summer_social,treatment,331.36,28.17,303.2,122.34,0,champion
O0000092,S0001312,C00102,2025-05-22T13:00:00,organic,mobile,beauty,seo,treatment,233.65,19.86,213.79,81.79,0,champion
O0000093,S0001316,C00102,2025-06-16T21:00:00,organic,mobile,apparel,seo,treatment,219.02,18.62,200.4,76.17,0,champion
O0000094,S0001324,C00102,2025-09-18T09:00:00,organic,mobile,electronics,seo,treatment,210.44,17.89,192.55,72.87,0,champion
O0000095,S0001332,C00103,2025-02-20T17:00:00,direct,desktop,sports,brand_direct,control,103.52,15.53,87.99,20.52,0,deal_seeker
O0000096,S0001339,C00103,2025-03-11T09:00:00,paid_search,mobile,apparel,always_on_search,control,291.31,43.7,247.61,63.81,0,deal_seeker
O0000097,S0001340,C00103,2025-03-02T11:00:00,email,tablet,home,crm_lifecycle,control,144.41,21.66,122.75,30.6,0,deal_seeker
O0000098,S0001347,C00103,2025-07-12T13:00:00,social,mobile,sports,summer_social,control,343.89,51.58,292.31,76.77,0,deal_seeker
O0000099,S0001370,C00106,2025-02-23T10:00:00,organic,mobile,apparel,seo,control,334.42,16.72,317.7,125.43,0,champion
O0000100,S0001373,C00106,2025-03-14T21:00:00,organic,desktop,beauty,seo,control,296.87,14.84,282.03,113.45,0,champion
O0000101,S0001374,C00106,2025-03-05T14:00:00,direct,mobile,beauty,brand_direct,control,246.48,12.32,234.15,90.34,0,champion
O0000102,S0001378,C00106,2025-04-07T19:00:00,social,mobile,home,summer_social,control,343.44,17.17,326.27,129.03,0,champion
O0000103,S0001381,C00106,2025-05-26T17:00:00,social,mobile,apparel,summer_social,control,321.1,16.06,305.05,120.12,0,champion
O0000104,S0001385,C00106,2025-06-05T15:00:00,organic,desktop,electronics,seo,control,423.7,21.19,402.52,164.06,0,champion
O0000105,S0001392,C00106,2025-09-17T08:00:00,organic,mobile,beauty,seo,control,350.69,17.53,333.15,131.92,0,champion
O0000106,S0001432,C00109,2025-03-22T13:00:00,direct,desktop,beauty,brand_direct,treatment,287.94,53.27,234.67,63.05,0,deal_seeker
O0000107,S0001435,C00109,2025-04-23T18:00:00,paid_search,mobile,home,always_on_search,treatment,167.82,31.05,136.77,31.66,0,deal_seeker
O0000108,S0001443,C00109,2025-11-23T09:00:00,social,tablet,sports,summer_social,treatment,168.05,31.09,136.96,34.72,0,deal_seeker
O0000109,S0001461,C00110,2025-09-19T16:00:00,direct,tablet,apparel,brand_direct,control,173.11,13.85,159.26,50.74,0,steady
O0000110,S0001463,C00110,2025-10-01T22:00:00,direct,mobile,apparel,brand_direct,control,232.26,18.58,213.68,66.79,0,steady
O0000111,S0001470,C00111,2025-11-09T10:00:00,paid_search,desktop,sports,always_on_search,treatment,223.33,41.32,182.02,47.78,0,deal_seeker
O0000112,S0001475,C00112,2025-08-13T18:00:00,paid_search,mobile,apparel,always_on_search,treatment,205.44,23.63,181.82,55.64,0,steady
O0000113,S0001481,C00113,2025-10-23T20:00:00,paid_search,mobile,home,always_on_search,treatment,112.98,20.9,92.08,18.7,0,deal_seeker
O0000114,S0001483,C00113,2025-10-06T16:00:00,email,desktop,home,crm_lifecycle,treatment,223.17,41.29,181.89,47.75,1,deal_seeker
O0000115,S0001488,C00114,2025-03-01T19:00:00,social,tablet,home,summer_social,control,437.71,21.89,415.83,169.65,0,champion
O0000116,S0001497,C00114,2025-05-09T13:00:00,paid_search,mobile,electronics,always_on_search,control,272.74,13.64,259.1,100.82,0,champion
O0000117,S0001499,C00114,2025-06-04T14:00:00,direct,tablet,electronics,brand_direct,control,502.58,25.13,477.46,195.53,1,champion
O0000118,S0001502,C00114,2025-07-11T12:00:00,paid_search,mobile,electronics,always_on_search,control,244.06,12.2,231.86,89.38,0,champion
O0000119,S0001507,C00114,2025-08-27T19:00:00,paid_search,mobile,electronics,always_on_search,control,390.58,19.53,371.05,147.84,0,champion
O0000120,S0001509,C00114,2025-09-10T13:00:00,social,mobile,beauty,summer_social,control,314.1,15.71,298.4,117.33,0,champion
O0000121,S0001513,C00114,2025-10-22T09:00:00,email,desktop,electronics,crm_lifecycle,control,607.11,30.36,576.75,237.24,0,champion
O0000122,S0001514,C00114,2025-10-16T13:00:00,email,mobile,electronics,crm_lifecycle,control,273.92,13.7,260.22,101.29,0,champion
O0000123,S0001522,C00115,2025-06-23T20:00:00,organic,mobile,food,seo,treatment,236.2,27.16,209.03,65.16,0,steady
O0000124,S0001529,C00115,2025-12-19T15:00:00,organic,tablet,apparel,seo,treatment,232.74,26.76,205.97,67.09,0,steady
O0000125,S0001533,C00116,2025-07-07T11:00:00,paid_search,mobile,electronics,always_on_search,control,449.02,22.45,426.57,171.16,0,champion
O0000126,S0001549,C00117,2025-11-15T15:00:00,paid_search,desktop,sports,always_on_search,control,344.11,17.21,326.9,132.3,0,champion
O0000127,S0001571,C00119,2025-11-05T19:00:00,paid_search,mobile,home,always_on_search,treatment,278.57,32.04,246.53,78.29,0,steady
O0000128,S0001587,C00121,2025-10-10T22:00:00,social,desktop,beauty,summer_social,treatment,187.37,34.66,152.71,39.29,0,deal_seeker
O0000129,S0001621,C00125,2025-03-14T15:00:00,paid_search,mobile,home,always_on_search,treatment,165.51,19.03,146.48,43.27,0,steady
O0000130,S0001638,C00125,2025-08-27T20:00:00,social,mobile,home,summer_social,treatment,252.62,29.05,223.57,70.25,0,steady
O0000131,S0001645,C00126,2025-02-22T10:00:00,organic,mobile,beauty,seo,treatment,239.97,20.4,219.57,84.22,0,champion
O0000132,S0001647,C00126,2025-02-16T14:00:00,direct,desktop,beauty,brand_direct,treatment,354.04,30.09,323.94,131.06,0,champion
O0000133,S0001653,C00126,2025-04-18T18:00:00,social,desktop,food,summer_social,treatment,325.14,27.64,297.5,119.95,0,champion
O0000134,S0001656,C00126,2025-05-23T15:00:00,social,tablet,beauty,summer_social,treatment,324.3,27.57,296.73,119.63,0,champion
O0000135,S0001660,C00126,2025-05-27T12:00:00,paid_search,desktop,food,always_on_search,treatment,303.42,25.79,277.63,111.6,0,champion
O0000136,S0001670,C00126,2025-08-11T21:00:00,affiliate,mobile,apparel,partner_cashback,treatment,280.7,29.47,251.23,97.52,0,champion
O0000137,S0001678,C00126,2025-10-09T18:00:00,organic,mobile,beauty,seo,treatment,217.57,18.49,199.08,75.61,0,champion
O0000138,S0001680,C00126,2025-10-22T16:00:00,paid_search,mobile,sports,always_on_search,treatment,351.93,29.91,322.01,127.25,0,champion
O0000139,S0001682,C00126,2025-10-21T11:00:00,affiliate,mobile,beauty,partner_cashback,treatment,545.23,57.25,487.98,196.95,0,champion
O0000140,S0001683,C00126,2025-10-21T09:00:00,social,mobile,sports,summer_social,treatment,278.1,23.64,254.46,98.87,0,champion
O0000141,S0001689,C00127,2025-10-23T09:00:00,email,mobile,electronics,crm_lifecycle,control,127.66,19.15,108.51,23.47,0,deal_seeker
O0000142,S0001691,C00127,2025-10-02T08:00:00,organic,mobile,sports,seo,control,108.49,16.27,92.21,18.74,0,deal_seeker
O0000143,S0001699,C00128,2025-08-23T11:00:00,paid_search,mobile,apparel,always_on_search,treatment,194.74,28.24,166.5,43.62,0,new_or_low
O0000144,S0001710,C00129,2025-07-26T21:00:00,organic,desktop,beauty,seo,treatment,88.68,10.2,78.49,22.47,0,steady
O0000145,S0001724,C00130,2025-08-06T20:00:00,direct,desktop,apparel,brand_direct,treatment,415.69,76.9,338.79,93.25,0,deal_seeker
O0000146,S0001729,C00130,2025-11-18T11:00:00,organic,desktop,home,seo,treatment,298.35,55.2,243.16,65.52,0,deal_seeker
O0000147,S0001740,C00132,2025-05-27T09:00:00,social,mobile,beauty,summer_social,control,368.11,55.22,312.89,82.74,0,deal_seeker
O0000148,S0001741,C00132,2025-05-04T15:00:00,organic,mobile,electronics,seo,control,211.58,31.74,179.85,44.16,0,deal_seeker
O0000149,S0001754,C00132,2025-12-13T08:00:00,organic,mobile,electronics,seo,control,53.24,7.99,45.25,5.12,0,deal_seeker
O0000150,S0001759,C00133,2025-07-23T13:00:00,affiliate,mobile,beauty,partner_cashback,treatment,225.74,46.28,179.46,44.04,0,deal_seeker
O0000151,S0001761,C00133,2025-08-23T09:00:00,direct,mobile,apparel,brand_direct,treatment,183.47,33.94,149.53,35.36,0,deal_seeker
O0000152,S0001764,C00133,2025-09-20T11:00:00,email,mobile,food,crm_lifecycle,treatment,104.29,19.29,84.99,16.65,0,deal_seeker
O0000153,S0001765,C00133,2025-10-01T14:00:00,affiliate,mobile,sports,partner_cashback,treatment,91.43,18.74,72.69,13.08,0,deal_seeker
O0000154,S0001780,C00136,2025-10-15T14:00:00,paid_search,desktop,apparel,always_on_search,control,201.11,30.17,170.94,44.57,0,deal_seeker
O0000155,S0001783,C00137,2025-05-23T12:00:00,direct,desktop,apparel,brand_direct,control,221.42,33.21,188.21,49.58,0,deal_seeker
O0000156,S0001844,C00142,2025-01-11T22:00:00,paid_search,mobile,beauty,always_on_search,treatment,116.5,13.4,103.1,28.08,0,steady
O0000157,S0001845,C00142,2025-01-14T15:00:00,email,desktop,food,crm_lifecycle,treatment,233.94,26.9,207.03,67.46,0,steady
O0000158,S0001847,C00142,2025-02-03T08:00:00,email,mobile,beauty,crm_lifecycle,treatment,332.68,38.26,294.42,95.05,0,steady
O0000159,S0001861,C00142,2025-08-14T13:00:00,paid_search,mobile,sports,always_on_search,treatment,236.77,27.23,209.54,65.34,0,steady
O0000160,S0001874,C00143,2025-04-12T09:00:00,paid_search,desktop,sports,always_on_search,control,424.55,21.23,403.32,164.39,1,champion
O0000161,S0001879,C00143,2025-05-06T12:00:00,affiliate,mobile,home,partner_cashback,control,492.42,34.47,457.95,184.34,0,champion
O0000162,S0001885,C00143,2025-06-09T08:00:00,email,desktop,sports,crm_lifecycle,control,328.7,16.44,312.27,126.15,0,champion
O0000163,S0001887,C00143,2025-07-24T21:00:00,organic,mobile,sports,seo,control,226.2,11.31,214.89,82.25,1,champion
O0000164,S0001893,C00143,2025-10-23T10:00:00,organic,mobile,apparel,seo,control,287.01,14.35,272.66,106.52,0,champion
O0000165,S0001918,C00145,2025-09-24T09:00:00,organic,desktop,electronics,seo,control,112.97,12.43,100.54,26.17,0,new_or_low
O0000166,S0001924,C00146,2025-06-09T21:00:00,email,mobile,food,crm_lifecycle,control,109.66,8.77,100.88,27.31,0,steady
O0000167,S0001927,C00146,2025-07-21T15:00:00,organic,mobile,apparel,seo,control,221.29,17.7,203.59,63.26,0,steady
O0000168,S0001940,C00147,2025-05-10T16:00:00,social,mobile,apparel,summer_social,treatment,217.75,18.51,199.24,75.68,0,champion
O0000169,S0001952,C00147,2025-09-09T11:00:00,paid_search,mobile,sports,always_on_search,treatment,218.33,18.56,199.77,75.9,0,champion
O0000170,S0001953,C00147,2025-09-11T16:00:00,organic,mobile,home,seo,treatment,308.19,26.2,282.0,110.44,0,champion
O0000171,S0001954,C00147,2025-10-17T21:00:00,social,desktop,food,summer_social,treatment,363.11,30.86,332.24,134.54,0,champion
O0000172,S0001966,C00148,2025-10-26T19:00:00,social,desktop,home,summer_social,control,173.82,13.91,159.91,50.97,0,steady
O0000173,S0001976,C00149,2025-01-14T20:00:00,organic,mobile,home,seo,control,329.49,16.47,313.02,123.47,0,champion
O0000174,S0001981,C00149,2025-03-07T16:00:00,paid_search,mobile,electronics,always_on_search,control,326.62,16.33,310.29,122.32,0,champion
O0000175,S0001984,C00149,2025-05-03T18:00:00,affiliate,mobile,apparel,partner_cashback,control,249.36,17.45,231.9,89.4,0,champion
O0000176,S0001993,C00149,2025-08-02T20:00:00,paid_search,desktop,food,always_on_search,control,524.24,26.21,498.03,204.17,0,champion
O0000177,S0001999,C00149,2025-12-01T20:00:00,paid_search,tablet,electronics,always_on_search,control,169.59,8.48,161.11,62.67,0,champion
O0000178,S0002013,C00152,2025-01-14T10:00:00,affiliate,desktop,home,partner_cashback,control,238.49,23.85,214.64,70.12,0,steady
O0000179,S0002014,C00152,2025-01-05T10:00:00,paid_search,mobile,home,always_on_search,control,160.72,12.86,147.86,43.75,0,steady
O0000180,S0002015,C00152,2025-02-05T08:00:00,email,mobile,home,crm_lifecycle,control,138.13,11.05,127.08,36.48,0,steady
O0000181,S0002017,C00152,2025-02-24T14:00:00,email,desktop,home,crm_lifecycle,control,183.84,14.71,169.14,54.2,0,steady
O0000182,S0002018,C00152,2025-02-25T11:00:00,affiliate,mobile,home,partner_cashback,control,292.06,29.21,262.85,84.0,0,steady
O0000183,S0002036,C00153,2025-07-15T14:00:00,email,mobile,sports,crm_lifecycle,treatment,198.33,36.69,161.64,38.88,0,deal_seeker
O0000184,S0002055,C00155,2025-11-04T18:00:00,email,desktop,home,crm_lifecycle,control,219.08,32.86,186.22,49.0,0,deal_seeker
O0000185,S0002062,C00156,2025-03-04T13:00:00,paid_search,mobile,beauty,always_on_search,treatment,313.37,26.64,286.73,112.43,0,champion
O0000186,S0002065,C00156,2025-03-12T13:00:00,affiliate,desktop,beauty,partner_cashback,treatment,282.59,29.67,252.92,101.23,0,champion
O0000187,S0002069,C00156,2025-04-05T14:00:00,direct,desktop,beauty,brand_direct,treatment,454.88,38.66,416.21,169.81,0,champion
O0000188,S0002075,C00156,2025-07-03T14:00:00,paid_search,desktop,beauty,always_on_search,treatment,290.57,24.7,265.88,106.67,0,champion
O0000189,S0002080,C00156,2025-10-01T14:00:00,paid_search,mobile,electronics,always_on_search,treatment,217.61,18.5,199.12,75.63,0,champion
O0000190,S0002082,C00156,2025-10-26T19:00:00,organic,mobile,beauty,seo,treatment,320.42,27.24,293.18,115.14,0,champion
O0000191,S0002099,C00158,2025-07-05T16:00:00,social,mobile,home,summer_social,control,281.04,22.48,258.55,82.49,0,steady
O0000192,S0002107,C00159,2025-02-21T14:00:00,social,mobile,food,summer_social,control,149.32,11.95,137.37,40.08,0,steady
O0000193,S0002117,C00159,2025-06-06T15:00:00,affiliate,desktop,sports,partner_cashback,control,293.31,29.33,263.98,87.39,0,steady
O0000194,S0002119,C00159,2025-06-05T18:00:00,email,mobile,food,crm_lifecycle,control,191.66,15.33,176.32,53.71,0,steady
O0000195,S0002121,C00159,2025-07-26T17:00:00,social,mobile,beauty,summer_social,control,264.25,21.14,243.11,77.09,0,steady
O0000196,S0002125,C00159,2025-09-27T16:00:00,organic,desktop,electronics,seo,control,338.18,27.05,311.12,103.89,0,steady
O0000197,S0002129,C00160,2025-04-04T21:00:00,social,mobile,apparel,summer_social,control,100.44,15.07,85.37,16.76,0,deal_seeker
O0000198,S0002137,C00160,2025-09-11T21:00:00,social,desktop,sports,summer_social,control,322.18,48.33,273.85,74.42,0,deal_seeker
O0000199,S0002147,C00161,2025-01-19T13:00:00,affiliate,mobile,electronics,partner_cashback,treatment,209.73,42.99,166.74,40.35,0,deal_seeker
O0000200,S0002166,C00161,2025-12-09T08:00:00,email,mobile,beauty,crm_lifecycle,treatment,252.98,46.8,206.18,51.79,0,deal_seeker
O0000201,S0002174,C00163,2025-07-13T19:00:00,affiliate,desktop,food,partner_cashback,treatment,131.47,17.75,113.72,34.8,0,steady
